seed,config,mean_reward,std_reward
42,FP32 (baseline),-65.71765577414897,15.219077711847778
42,INT8 uniform,-65.90455771951973,15.026632966644508
42,INT4 uniform,-63.501568969817164,14.414639381828584
42,INT2 uniform,-134.9332886499893,31.86516867599299
42,1 INT8 + 2 INT2,-75.26469206060646,17.270504763116364
42,2 INT8 + 1 INT2,-63.56942511765263,15.67606484355363
42,agent_0 INT8 (others INT2),-79.18277247214183,13.76312974332863
42,agent_1 INT8 (others INT2),-90.29199790809791,17.02447306795712
42,agent_2 INT8 (others INT2),-137.97791984313238,34.25560503939384
123,FP32 (baseline),-62.438378682146684,14.389842566303555
123,INT8 uniform,-61.68179148761211,13.676051684322063
123,INT4 uniform,-63.74825570734313,16.27355931430579
123,INT2 uniform,-140.97341877242536,38.2319513363439
123,1 INT8 + 2 INT2,-75.48440954967528,14.676208201951566
123,2 INT8 + 1 INT2,-61.57560211191965,14.151477471480137
123,agent_0 INT8 (others INT2),-74.01205897121835,13.812348613358758
123,agent_1 INT8 (others INT2),-94.23541546439874,19.523129215172236
123,agent_2 INT8 (others INT2),-138.6859677508665,32.001349335207294
456,FP32 (baseline),-63.62554586094761,14.895672874180324
456,INT8 uniform,-66.57254144607349,13.792236145810582
456,INT4 uniform,-62.01300340200493,13.124068771544811
456,INT2 uniform,-133.9142542754956,34.4945039239997
456,1 INT8 + 2 INT2,-73.64809332861553,15.633504544772993
456,2 INT8 + 1 INT2,-65.94177536358008,14.896026836032954
456,agent_0 INT8 (others INT2),-75.00204601859427,14.968433161167733
456,agent_1 INT8 (others INT2),-92.52807059662364,17.17093672206519
456,agent_2 INT8 (others INT2),-138.97914714998143,33.92485439594202
